input_term,term,industry
Educational Products,Education,Education/Training
Educational Publishing,Publishing,Arts/Entertainment/Publishing
Educational Publishing (textbooks),Education,Education/Training
Educational Publishing/Technology,Publishing,Arts/Entertainment/Publishing
Educational Services,Education,Education/Training
Educational Software,Education,Education/Training
Educational Special Services,Education,Education/Training
Educational Technology,Education,Education/Training
Elder Care,Healthcare,Healthcare
Eldercare,Healthcare,Healthcare
Elderly Home Care,Healthcare,Healthcare
Electical Energy,Energy,Oil/Gas/Energy
Electric Power,Energy,Oil/Gas/Energy
Electric Utilities,Energy,Oil/Gas/Energy
Electric Utility,Energy,Oil/Gas/Energy
Electric utility software,Customer Service,Customer Service
Electrical,Engineering,Engineering/Architecture
Electrical Contracting,Construction,Construction/Facilities
Electrical Distribution,Energy,Oil/Gas/Energy
Electrical Engineering,Engineering,Engineering/Architecture
Electrical Engineering & Consulting,Engineering,Engineering/Architecture
Electrical Manufacturing,Manufacturing,Manufacturing/Mechanical
Electrical Utilities,Oil Gas Energy,Oil/Gas/Energy
Electrical construction,Construction,Construction/Facilities
Electrical power distribution,Energy,Oil/Gas/Energy
Electrical wholesale,Restaurant Food Service,Restaurant/Food Service
Electrical/Industrial,Manufacturing,Manufacturing/Mechanical
Electrical/electronic manufacturing,Manufacturing,Manufacturing/Mechanical
Electron Microscopy,Research,Science/Research
Electronic Components,Computer,Computer/Internet
Electronic Design Automation,Computer,Computer/Internet
Electronic Restoration,Customer Service,Customer Service
Electronic product,Engineering,Engineering/Architecture
Electronics,Computer,Computer/Internet
Electronics Distribution,Logistics,Transportation/Logistics
Electronics Manufacturing,Manufacturing,Manufacturing/Mechanical
Electronics Manufacturing - Aerospace,Manufacturing,Manufacturing/Mechanical
Electronics Sales,Computer,Computer/Internet
Electronics engineering,Engineering,Engineering/Architecture
Electroplating,Engineering,Engineering/Architecture
Elementary Education,Education,Education/Training
Elevator,Transportation,Transportation/Logistics
Email marketing,Marketing,Marketing/Advertising/PR
"Embassy, Digital Media",Social Community,Social/Community
Embedded Electronic System,Computer,Computer/Internet
Emergency Health Services,Healthcare,Healthcare
Emergency Management - Government,Government,Government/Military
Emergency Manager,Upper Management,Upper Management/Consulting
Emergency Medicine,Healthcare,Healthcare
Emergency Response,Environmental,Environmental
Emergency Services,Healthcare,Healthcare
Emergency dispatch (911/police/fire/ems),Sales,Sales
Emergency management,Upper Management,Upper Management/Consulting
Emergency medical services,Healthcare,Healthcare
Employee Benefits,Human Resources,Human Resources
Employee recognition,Human Resources,Human Resources
Employment Benefits,Human Resources,Human Resources
Employment Development,Human Resources,Human Resources
Employment Screening,Human Resources,Human Resources
Employment agency,Human Resources,Human Resources
Energu,Energy,Oil/Gas/Energy
Energy,Energy,Oil/Gas/Energy
Energy & Resources,Energy,Oil/Gas/Energy
Energy (Oil and Gas),Oil Gas Energy,Oil/Gas/Energy
Energy (nonprofit),Energy,Oil/Gas/Energy
Energy - Utility,Energy,Oil/Gas/Energy
Energy - non-profit utility cooperative,Energy,Oil/Gas/Energy
Energy Economics,Energy,Oil/Gas/Energy
Energy Efficiency,Energy,Oil/Gas/Energy
Energy Efficiency Consulting,Energy,Oil/Gas/Energy
Energy Industry,Oil Gas Energy,Oil/Gas/Energy
Energy Sector,Oil Gas Energy,Oil/Gas/Energy
Energy Storage,Energy,Oil/Gas/Energy
Energy and utilities,Energy,Oil/Gas/Energy
Energy journalism/analysis,Energy,Oil/Gas/Energy
Energy retail,Energy,Oil/Gas/Energy
Energy/Consulting,Energy,Oil/Gas/Energy
Energy/Oil & Gas,Oil Gas Energy,Oil/Gas/Energy
Energy/Tech,Education,Education/Training
Energy/Utilities,Energy,Oil/Gas/Energy
Energy/Utility,Energy,Oil/Gas/Energy
Engineer,Engineering,Engineering/Architecture
Engineer Consulting,Consulting,Upper Management/Consulting
Engineer ming,Engineering,Engineering/Architecture
Engineered thermoplastics,Engineering,Engineering/Architecture
Engineering,Engineering,Engineering/Architecture
Engineering (Defense & Aerospace),Engineering,Engineering/Architecture
Engineering - consulting structural,Engineering Architecture,Engineering/Architecture
Engineering - public sector,Public Sector,Public Sector
Engineering / Architecture / Building Design,Engineering Architecture,Engineering/Architecture
Engineering / Construction,Construction,Construction/Facilities
Engineering / Design,Engineering,Engineering/Architecture
Engineering / Surveying,Engineering,Engineering/Architecture
Engineering Consultancy,Engineering,Engineering/Architecture
Engineering Consultant,Engineering,Engineering/Architecture
Engineering Consulting,Engineering,Engineering/Architecture
Engineering Firm,Engineering,Engineering/Architecture
Engineering Services,Engineering,Engineering/Architecture
Engineering and Construction Management,Construction,Construction/Facilities
Engineering and Higher Ed,Engineering,Engineering/Architecture
Engineering marketing,Marketing,Marketing/Advertising/PR
Engineering of Buildings,Engineering Architecture,Engineering/Architecture
Engineering-Architecture,Engineering Architecture,Engineering/Architecture
Engineering/ science/ research,Engineering,Engineering/Architecture
Engineering/Commercial buildng design,Engineering Architecture,Engineering/Architecture
Engineering/Construction Consulting,Construction,Construction/Facilities
Engineering/Federal Government,Engineering,Engineering/Architecture
Engineering/Planning (Transportation),Transportation,Transportation/Logistics
Engineering/Surveying,Engineering,Engineering/Architecture
Engineering/Technology,Engineering,Engineering/Architecture
Engineering/Telecommunications,Telecommunications,Telecommunications
Engineering/constuction,Construction,Construction/Facilities
Engineering/defense,Engineering,Engineering/Architecture
Engines,Mechanical,Manufacturing/Mechanical
Enterprise B2B software,Marketing,Marketing/Advertising/PR
Enterprise Computing,Computer,Computer/Internet
Enterprise Software,Business Analyst,Business/Analyst
Enterprise Software Development,Business Analyst,Business/Analyst
Enterprise Technology,Customer Service,Customer Service
Enterprise cloud software,Business,Business/Analyst
Entertainment,Entertainment,Arts/Entertainment/Publishing
Entertainment  marketing,Marketing,Marketing/Advertising/PR
Entertainment & Hospitality,Hospitality,Hospitality/Travel
Entertainment (Music Business),Business,Business/Analyst
Entertainment (movie studio),Entertainment,Arts/Entertainment/Publishing
Entertainment (television production),Entertainment,Arts/Entertainment/Publishing
Entertainment (videogames),Gaming,Gaming
Entertainment - Finance,Finance,Accounting/Finance
Entertainment - Nightclub,Travel,Hospitality/Travel
Entertainment / Television,Entertainment,Arts/Entertainment/Publishing
Entertainment Industry,Entertainment,Arts/Entertainment/Publishing
Entertainment Industry/Hollywood,Entertainment,Arts/Entertainment/Publishing
Entertainment Law,Entertainment,Arts/Entertainment/Publishing
Entertainment Legal,Legal,Legal
Entertainment Technology,Entertainment,Arts/Entertainment/Publishing
Entertainment media,Media,Media
Entertainment production,Entertainment,Arts/Entertainment/Publishing
"Entertainment, Post Production",Media,Media
Entertainment/Games/Animation,Gaming,Gaming
Entertainment/Hospitality,Hospitality,Hospitality/Travel
Entertainment/Media/Marketing,Marketing,Marketing/Advertising/PR
Entertainment/Sports,Sport,Sport/Leisure
Entertainment/games,Gaming,Gaming
Env. Consulting,Environmental,Environmental
Enviromental Remediation,Environmental,Environmental
Environment,Environmental,Environmental
Environment and conservation,Environmental,Environmental
Environmental,Environmental,Environmental
Environmental Chemistry,Environmental,Environmental
Environmental Compliance,Environmental,Environmental
Environmental Compliance - Government,Environmental,Environmental
Environmental Conservation,Environmental,Environmental
Environmental Consultancy,Environmental,Environmental
Environmental Consulting,Environmental,Environmental
Environmental Education,Education,Education/Training
Environmental Engineering Consulting,Environmental,Environmental
Environmental Graphic Design,Architecture,Engineering/Architecture
Environmental Health,Environmental,Environmental
Environmental Health and Safety,Environmental,Environmental
Environmental Management,Environmental,Environmental
Environmental Planning,Environmental,Environmental
Environmental Planning/Consulting,Environmental,Environmental
Environmental Projection,Environmental,Environmental
Environmental Protection (state agency),Environmental,Environmental
Environmental Remediation/Nuclear,Environmental,Environmental
Environmental Science,Environmental,Environmental
Environmental Services,Environmental,Environmental
Environmental Technology,Environmental,Environmental
Environmental Testing,Environmental,Environmental
Environmental co6,Engineering,Engineering/Architecture
Environmental consulting (building sciences),Environmental,Environmental
Environmental due diligence,Environmental,Environmental
Environmental engineering,Engineering,Engineering/Architecture
Environmental monitoring,Environmental,Environmental
Environmental non-profit,Environmental,Environmental
Episcopal Church,Social,Social/Community
Equine,Agriculture,Agriculture
Equipment,Administrative,Administrative
Equipment FInance,Loans,Banking/Loans
Equipment Manufacturing,Manufacturing,Manufacturing/Mechanical
Equipment Supplier,Restaurant Food Service,Restaurant/Food Service
Equity Research,Analyst,Business/Analyst
Estate Jewelry Sales,Arts,Arts/Entertainment/Publishing
Esthetics,Healthcare,Healthcare
Ethanol,Energy,Oil/Gas/Energy
Evaluation & Research (non-profit),Non-Profit,Non-Profit/Volunteering
Event Management,Upper Management,Upper Management/Consulting
Event Management/Operations,Upper Management,Upper Management/Consulting
Event Planning,Hospitality,Hospitality/Travel
Event Production,Hospitality,Hospitality/Travel
Event Production/Film & Television,Media,Media
Event Production/Higher Ed,Education,Education/Training
Event Rentals,Transportation,Transportation/Logistics
"Event production, graphic design",Arts Entertainment Publishing,Arts/Entertainment/Publishing
Event technology,Hospitality,Hospitality/Travel
Events,Entertainment,Arts/Entertainment/Publishing
Events / experience mktg,Marketing,Marketing/Advertising/PR
Events/Hospitality,Hospitality,Hospitality/Travel
Events/Weddings - Floral Design,Architecture,Engineering/Architecture
Executive Benefits Consulting,Consulting,Upper Management/Consulting
Executive Consulting/Executive Search,Consulting,Upper Management/Consulting
Executive Search,Consulting,Upper Management/Consulting
Executive recruitment,Consulting,Upper Management/Consulting
Executive suites,Real Estate,Real Estate
Expense management,Upper Management,Upper Management/Consulting
Expert Networking,Consulting,Upper Management/Consulting
Explosives,Gas,Oil/Gas/Energy
Export,Manufacturing,Manufacturing/Mechanical
Extension (university) - agriculture,Agriculture,Agriculture
Extension Education,Agriculture,Agriculture
Eye Care,Healthcare,Healthcare
F&B,Hospitality,Hospitality/Travel
FED GOV,Government,Government/Military
FFRDC,Engineering,Engineering/Architecture
FINANCIAL/IRA,Finance,Accounting/Finance
FIREFIGHTING,Gas,Oil/Gas/Energy
FInance/Call centre,Customer Service,Customer Service
FL state gov't,Government,Government/Military
FLooring,Real Estate,Real Estate
FMCG,Retail,Retail
FOOTWEAR DESIGN,Architecture,Engineering/Architecture
FURNITURE SALES,Retail,Retail
Fabless Semiconductor,Manufacturing,Manufacturing/Mechanical
Fabric,Computer,Computer/Internet
Fabric Design,Architecture,Engineering/Architecture
Fabric and textile,Agriculture,Agriculture
Fabrication,Manufacturing,Manufacturing/Mechanical
Facilities,Facilities,Construction/Facilities
Facilities Maintenance,Facilities,Construction/Facilities
Facilities Management,Facilities,Construction/Facilities
Facilities Operations,Facilities,Construction/Facilities
Facilities Planning,Education,Education/Training
Facility Services,Facilities,Construction/Facilities
Facility maintenance,Facilities,Construction/Facilities
Facilties Management,Facilities,Construction/Facilities
Factory,Manufacturing,Manufacturing/Mechanical
Factory/Industrial,Manufacturing,Manufacturing/Mechanical
Faith-Based/Religious Community,Non-Profit,Non-Profit/Volunteering
Family Owned Small Business- retail,Business,Business/Analyst
Farming,Agriculture,Agriculture
Fashion,Travel,Hospitality/Travel
Fashion & Garment Manufacturing,Manufacturing,Manufacturing/Mechanical
Fashion (Menswear),Retail,Retail
Fashion / E-commerce,Retail,Retail
Fashion Design,Arts,Arts/Entertainment/Publishing
Fashion Footwear,Retail,Retail
Fashion Retail,Retail,Retail
Fashion and apparel,Retail,Retail
Fashion tech/garments,Retail,Retail
Fast Food/Restaurants,Restaurant,Restaurant/Food Service
Fast Moving Consumer Goods (FMCG),Retail,Retail
Fasteners,Finance,Accounting/Finance
Fed,Banking,Banking/Loans
Federal,Government,Government/Military
Federal Budget,Finance,Accounting/Finance
Federal Consulting,Consulting,Upper Management/Consulting
Federal Contracting,Government,Government/Military
Federal Contractor,Government,Government/Military
Federal Employee,Human Resources,Human Resources
Federal Gov't - Technical,Government,Government/Military
Federal Government,Government,Government/Military
Federal Government  (contract),Government,Government/Military
Federal Government  - land management agency,Agriculture,Agriculture
Federal Government (Canadian),Government,Government/Military
Federal Government (Education),Education,Education/Training
Federal Government - Scientist,Science Research,Science/Research
Federal Government - policy,Government,Government/Military
Federal Government / Army,Military,Government/Military
Federal Government Agency,Government,Government/Military
Federal Government Contracting,Government,Government/Military
Federal Government Contractor,Government,Government/Military
Federal Government Employee,Human Resources,Human Resources
Federal Government-Research,Research,Science/Research
Federal Government/Trade Finance,Finance,Accounting/Finance
Federal IT Consulting,Consulting,Upper Management/Consulting
Federal IT Contracting,Government,Government/Military
Federal Libraries,Government,Government/Military
Federal Public Service (Canada),Public Sector,Public Sector
Federal contractor for science-related agency,Science Research,Science/Research
Federal contracts/professional services/for profit (education),Government,Government/Military
Federal defender,Personal Service,Personal Service
Federal government (Canada),Government,Government/Military
Federal government (aviation),Transportation,Transportation/Logistics
Federal government (civil servant),Government,Government/Military
Federal govt,Government,Government/Military
Federal workforce,Human Resources,Human Resources
Federally funded research and development center,Research,Science/Research
Feminist Nonprofit,Non-Profit,Non-Profit/Volunteering
Fiance,Administrative,Administrative
Fiancial institution,Banking,Banking/Loans
Film,Community,Social/Community
Film & Branded Content,Advertising,Marketing/Advertising/PR
Film & TV Production,Arts Entertainment Publishing,Arts/Entertainment/Publishing
Film & Television,Community,Social/Community
Film & Television/Theme Parks,Travel,Hospitality/Travel
Film / TV,Community,Social/Community
Film Industry,Community,Social/Community
Film Industry - Los Angeles,Arts Entertainment Publishing,Arts/Entertainment/Publishing
Film Production,Environmental,Environmental
Film and TV,Community,Social/Community
Film and Television,Community,Social/Community
"Film, Visual Effects Production",Arts,Arts/Entertainment/Publishing
Film/Video Production,Education,Education/Training
Film/television,Community,Social/Community
Fin tech,Finance,Accounting/Finance
FinReg,Finance,Accounting/Finance
Finacne,Finance,Accounting/Finance
Finance,Finance,Accounting/Finance
Finance & Accounting,Accounting Finance,Accounting/Finance
Finance & Administration,Accounting Finance,Accounting/Finance
Finance & Investments,Finance,Accounting/Finance
Finance (Investment Consulting),Accounting Finance,Accounting/Finance
Finance (Regulatory),Banking,Banking/Loans
Finance (Wealth Management),Finance,Accounting/Finance
Finance (non-profit),Non-Profit,Non-Profit/Volunteering
Finance - investment managing,Finance,Accounting/Finance
Finance / Investment Banking,Finance,Accounting/Finance
Finance and Technology,Finance,Accounting/Finance
Finance and retirement,Finance,Accounting/Finance
Finance for the industrial baking industry,Retail,Retail
Finance operations,Accounting Finance,Accounting/Finance
"Finance, banking, insurance",Finance,Accounting/Finance
Finance/Accounting,Accounting Finance,Accounting/Finance
Finance/Advertising,Advertising,Marketing/Advertising/PR
Finance/Banking,Finance,Accounting/Finance
Finance/Credit/Mortgage,Loans,Banking/Loans
Finance/Law,Banking,Banking/Loans
Finance/REIT,Finance,Accounting/Finance
Finance/Telecommunications,Telecommunications,Telecommunications
Finance/retail,Loans,Banking/Loans
Finance? I guess,Finance,Accounting/Finance
Financial,Finance,Accounting/Finance
Financial - investments,Finance,Accounting/Finance
Financial Cloud Software,Accounting,Accounting/Finance
Financial Consulting,Accounting Finance,Accounting/Finance
Financial Counseling,Finance,Accounting/Finance
Financial Education,Finance,Accounting/Finance
Financial Industry,Finance,Accounting/Finance
Financial Investigations,Accounting Finance,Accounting/Finance
Financial Investment,Finance,Accounting/Finance
Financial Markets,Finance,Accounting/Finance
Financial Planning,Finance,Accounting/Finance
Financial Planning / Services,Accounting Finance,Accounting/Finance
Financial Research,Analyst,Business/Analyst
Financial Services,Accounting Finance,Accounting/Finance
Financial Services / Insurance,Insurance,Insurance
Financial Services Industry,Finance,Accounting/Finance
Financial Services Non Profit,Non-Profit,Non-Profit/Volunteering
Financial Services Ops and IT,Finance,Accounting/Finance
Financial Services and Accounting,Accounting Finance,Accounting/Finance
Financial Services/Banking,Banking,Banking/Loans
Financial Services/Investments,Finance,Accounting/Finance
Financial Services/Research,Banking,Banking/Loans
Financial Services/consulting,Consulting,Upper Management/Consulting
Financial Software,Finance,Accounting/Finance
Financial Software Services,Finance,Accounting/Finance
Financial Tech,Finance,Accounting/Finance
Financial Tech (FinTech),Finance,Accounting/Finance
Financial Technology,Finance,Accounting/Finance
Financial compliance,Accounting Finance,Accounting/Finance
Financial consultant,Accounting Finance,Accounting/Finance
Financial reporting and analysis free lance consultant,Accounting Finance,Accounting/Finance
Financial services technology,Banking,Banking/Loans
Financial services- nonprofit,Non-Profit,Non-Profit/Volunteering
Financial services-data/software provider,Banking,Banking/Loans
Financial services/tech,Banking,Banking/Loans
Financial technology (fintech),Finance,Accounting/Finance
Financial-Banking,Banking,Banking/Loans
Financial-Investment Banking,Banking,Banking/Loans
Fine Art,Arts,Arts/Entertainment/Publishing
Fine Art Market,Arts,Arts/Entertainment/Publishing
Fine Arts Nonprofit,Arts,Arts/Entertainment/Publishing
Fine Arts/Museums,Arts,Arts/Entertainment/Publishing
Fine jewelry,Travel,Hospitality/Travel
Finical,Finance,Accounting/Finance
Fintech,Banking,Banking/Loans
Fire Alarm System Sales and Service,Security,Law Enforcement/Security
Fire Department,Environmental,Environmental
Fire alarm systems,Security,Law Enforcement/Security
Fire safety,Real Estate,Real Estate
Fire service,Training,Education/Training
Fire/EMS,Volunteering,Non-Profit/Volunteering
First responder,Law Enforcement Security,Law Enforcement/Security
Fitness,Travel,Hospitality/Travel
Fitness Gym,Facilities,Construction/Facilities
Fitness Technology,Training,Education/Training
Fitness and music,Research,Science/Research
Fitness/Health & Wellness,Healthcare,Healthcare
Fixed Income Trading,Finance,Accounting/Finance
Fleet,Transportation,Transportation/Logistics
Fleet Leasing,Transportation,Transportation/Logistics
Flexible packaging,Restaurant Food Service,Restaurant/Food Service
Floor laying,Real Estate,Real Estate
Flooring Installation,Real Estate,Real Estate
Flooring/Ceramic Tile,Real Estate,Real Estate
Floral,Food Service,Restaurant/Food Service
Florida State Government,Government,Government/Military
Flow & Density Measurement,Gas,Oil/Gas/Energy
Food,Food Service,Restaurant/Food Service
Food & Bev (tech),Restaurant Food Service,Restaurant/Food Service
Food & Beverage,Restaurant Food Service,Restaurant/Food Service
Food & Beverage Manufacturing,Restaurant Food Service,Restaurant/Food Service
Food & Consumer Goods,Retail,Retail
Food (Meal Kits),Restaurant,Restaurant/Food Service
Food - catering,Food Service,Restaurant/Food Service
Food Bank,Food Service,Restaurant/Food Service
Food Distribution,Food Service,Restaurant/Food Service
Food Industry (CPG),Retail,Retail
Food Industry / Retail (Consulting),Retail,Retail
Food Ingredients,Food Service,Restaurant/Food Service
Food Manufacturing,Manufacturing,Manufacturing/Mechanical
Food Manufacturing/Distribution,Food Service,Restaurant/Food Service
Food Processing,Food Service,Restaurant/Food Service
Food Products Manufacturing,Food Service,Restaurant/Food Service
Food Retail,Retail,Retail
Food Science,Food Service,Restaurant/Food Service
Food Service,Food Service,Restaurant/Food Service
Food Service Management,Food Service,Restaurant/Food Service
Food Service/ Manufacturing,Restaurant Food Service,Restaurant/Food Service
Food Service/Agriculture,Agriculture,Agriculture
Food and Beverage,Restaurant Food Service,Restaurant/Food Service
Food and hospitality,Hospitality Travel,Hospitality/Travel
Food flavor industry,Food Service,Restaurant/Food Service
Food industry,Agriculture,Agriculture
Food management,Food Service,Restaurant/Food Service
Food production,Agriculture,Agriculture
Food safety and quality,Food Service,Restaurant/Food Service
Food service and restaurant,Restaurant Food Service,Restaurant/Food Service
Food service/retail,Food Service,Restaurant/Food Service
Food tech,Food Service,Restaurant/Food Service
Food/Beverage,Restaurant Food Service,Restaurant/Food Service
For profit education,Education,Education/Training
Foreign Exchange,Banking,Banking/Loans
Forensic Accounting,Accounting,Accounting/Finance
Forensics,Law Enforcement,Law Enforcement/Security
Forestry,Agriculture,Agriculture
Forestry regulator,Environmental,Environmental
Forklift sales and service,Customer Service,Customer Service
Foster care/family services,Healthcare,Healthcare
Foundation,Other,Other
Foundations (nonprofit),Non-Profit,Non-Profit/Volunteering
Fragrance,Science Research,Science/Research
Franchised Auto Dealership,Insurance,Insurance
Franchising,Business,Business/Analyst
Franchising/Fitness,Facilities,Construction/Facilities
Franchising/Insurance,Insurance,Insurance
Fraud & Identity Software,Loans,Banking/Loans
Fraud prevention,Banking,Banking/Loans
Freedom,Government,Government/Military
Freelance,Consulting,Upper Management/Consulting
Freight,Transportation Logistics,Transportation/Logistics
Freight Forwarding,Transportation Logistics,Transportation/Logistics
Freight Logistics,Transportation Logistics,Transportation/Logistics
Freight Transportation,Transportation Logistics,Transportation/Logistics
Freight rail,Transportation,Transportation/Logistics
Front Desk,Publishing,Arts/Entertainment/Publishing
Front-Facing Customer Service,Customer Service,Customer Service
Frozen Grocery,Restaurant Food Service,Restaurant/Food Service
Fruit Packing,Restaurant Food Service,Restaurant/Food Service
Fuel,Energy,Oil/Gas/Energy
Fuel Distribution,Oil Gas Energy,Oil/Gas/Energy
Full Scale Testing,Construction,Construction/Facilities
Fundarising,Non-Profit Volunteering,Non-Profit/Volunteering
Funding,Finance,Accounting/Finance
Funding Agency,Research,Science/Research
Fundraising,Non-Profit Volunteering,Non-Profit/Volunteering
Fundraising/Donor Relations,Non-Profit,Non-Profit/Volunteering
Fundraising/Non-Profit Development,Non-Profit,Non-Profit/Volunteering
Funeral,Personal Service,Personal Service
Funeral Industry,Business,Business/Analyst
Funeral Service,Personal Service,Personal Service
Funeral and cemetery,Personal Service,Personal Service
Furniture,Real Estate,Real Estate
Furniture  distribution,Retail,Retail
Furniture Dealership,Environmental,Environmental
Furniture Retail,Retail,Retail
Furniture manufacturing,Manufacturing,Manufacturing/Mechanical
Furniture manufacturing/wholesale,Retail,Retail
Further and Higher Education,Education,Education/Training
G,Sales,Sales
GIS,Research,Science/Research
GLAM,Administrative,Administrative
GLAM (galleries libraries archives museums),Research,Science/Research
"GLAM (gallery, library, archives, museum)",Arts,Arts/Entertainment/Publishing
"Galleries, Libraries, Archives & Museums",Media,Media
"Galleries, Libraries, Archives and Museums",Media,Media
Gambling,Sport,Sport/Leisure
Game Development,Gaming,Gaming
Game Industry,Gaming,Gaming
Game publishing,Publishing,Arts/Entertainment/Publishing
Games,Gaming,Gaming
Games software development,Gaming,Gaming
Games/Software,Gaming,Gaming
Gaming,Gaming,Gaming
Gaming (Gambling),Sport,Sport/Leisure
Gaming - Lottery,Business,Business/Analyst
Gaming Commission,Gaming,Gaming
Gaming- Casino Table Games,Gaming,Gaming
Gaming-Casino,Travel,Hospitality/Travel
Gaming/AR Technology,Media,Media
Garbage,Environmental,Environmental
Garbage collection,Computer,Computer/Internet
Gardening,Travel,Hospitality/Travel
Garment,Administrative,Administrative
Garment Industry,Manufacturing,Manufacturing/Mechanical
Gas Utility,Oil Gas Energy,Oil/Gas/Energy
Gas and Oil Production,Oil Gas Energy,Oil/Gas/Energy
Genealogy,Research,Science/Research
General Aviation,Transportation,Transportation/Logistics
Genetic counseling,Bio-tech,Pharmaceutical/Bio-tech
Genetic testing,Bio-tech,Pharmaceutical/Bio-tech
Geological Engineering,Engineering,Engineering/Architecture
Geology/Environmental,Science Research,Science/Research
Geospatial,Research,Science/Research
Geospatial Services,Research,Science/Research
Geotechnical engineering,Engineering,Engineering/Architecture
Gift,Sales,Sales
Gig economy,Consulting,Upper Management/Consulting
GivenGover,Leisure,Sport/Leisure
Glass,Community,Social/Community
Global Health,Healthcare,Healthcare
Global Health non-profit,Healthcare,Healthcare
Global Mobility,Human Resources,Human Resources
Global Mobility (HR-adjacent),Human Resources,Human Resources
Global health NGO,Healthcare,Healthcare
Global health and development,Healthcare,Healthcare
Golf,Sport,Sport/Leisure
Golf Course,Travel,Hospitality/Travel
Gouvernement,Administrative,Administrative
Gov Tech,Government,Government/Military
Gov't Contractor,Government,Government/Military
Gov't consulting,Consulting,Upper Management/Consulting
Govenment,Government,Government/Military
Govenrment,Government,Government/Military
Goveo,Healthcare,Healthcare
Goverment,Government,Government/Military
Goverment/Defense,Military,Government/Military
Governemtn,Government,Government/Military
Government,Government,Government/Military
Government (Canada),Government,Government/Military
Government (Canadian),Government,Government/Military
Government (Congress),Government,Government/Military
Government (Defense),Military,Government/Military
Government (Immigration and refugee tribunal),Legal,Legal
Government (Legal),Government,Government/Military
Government (Provincial),Government,Government/Military
Government (State level),Government,Government/Military
Government (a regional Metropolitan Planning Organization),Transportation Logistics,Transportation/Logistics
Government (international diplomacy),Government,Government/Military
Government (local level),Government,Government/Military
Government (public servant),Public Sector,Public Sector
Government - Education,Education,Education/Training
Government - Engineering,Engineering,Engineering/Architecture
Government - Law Enforcement,Law Enforcement,Law Enforcement/Security
Government - Police Services,Law Enforcement,Law Enforcement/Security
Government - Public Health,Healthcare,Healthcare
Government - State of Arizona,Government,Government/Military
Government - State/County,Government,Government/Military
Government - digital communications,Media,Media
Government - public service,Public Sector,Public Sector
Government /public sector,Public Sector,Public Sector
Government Accounting,Accounting,Accounting/Finance
Government Administration,Public Sector,Public Sector
Government Affairs,Government,Government/Military
Government Affairs/Nonprofit,Non-Profit,Non-Profit/Volunteering
Government Agency,Government,Government/Military
Government Archives,Government,Government/Military
Government Clerical Work,Human Resources,Human Resources
Government Communications,Government,Government/Military
Government Consulting for Space Industry,Consulting,Upper Management/Consulting
Government Contracting,Government,Government/Military
Government Contracting (Health and Human Services),Healthcare,Healthcare
Government Contracting/NASA,Business,Business/Analyst
Government Contractor,Government,Government/Military
Government Data,Research,Science/Research
Government Finance,Finance,Accounting/Finance
Government HR,Human Resources,Human Resources
Government Health IT,Healthcare,Healthcare
Government IT,Government,Government/Military
Government IT contracting,Government,Government/Military
Government Libraries,Public Sector,Public Sector
Government Relations,PR,Marketing/Advertising/PR
Government Relations/Nonprofit,Non-Profit,Non-Profit/Volunteering
Government Research / Policy Analysis,Research,Science/Research
Government Sector,Public Sector,Public Sector
Government Subcontractor,Business,Business/Analyst
Government consulting,Consulting,Upper Management/Consulting
Government contract,Government,Government/Military
Government contractor lab (academia adjacent science support),Construction,Construction/Facilities
Government health policy,Healthcare,Healthcare
Government healthcare,Healthcare,Healthcare
Government management/confidential,Human Resources,Human Resources
Government of Canada,Government,Government/Military
Government public health research,Healthcare,Healthcare
Government regulation. Uk,Media,Media
Government regulatory,Business,Business/Analyst
Government research,Research,Science/Research
Government science,Science,Science/Research
Government science and tech,Science,Science/Research
Government science research agency,Science Research,Science/Research
Government social services,Social Community,Social/Community
Government training,Training,Education/Training
"Government, International Affairs",Education,Education/Training
"Government, pharmaceutical/regulatory science",Pharmaceutical,Pharmaceutical/Bio-tech
Government- Civilian-Blue Collar,Human Resources,Human Resources
Government- grant awarding,Government,Government/Military
Government-Defense,Military,Government/Military
Government-Museum,Architecture,Engineering/Architecture
Government-United States House of Representatives,Government,Government/Military
Government/Civil Service,Government,Government/Military
Government/Diplomatic,Government,Government/Military
Government/Education,Education,Education/Training
Government/Engineering,Engineering,Engineering/Architecture
Government/Environmental,Environmental,Environmental
Government/Infrastructure,Public Sector,Public Sector
Government/Law,Government,Government/Military
Government/Library,Public Sector,Public Sector
Government/Military - US,Military,Government/Military
Government/Municipal,Government,Government/Military
Government/Non-profit,Non-Profit,Non-Profit/Volunteering
Government/Public Health,Healthcare,Healthcare
Government/Public Service,Public Sector,Public Sector
Government/Sales Tax,Non-Profit,Non-Profit/Volunteering
Government/Teaching,Education,Education/Training
Government/Transportation/Transit,Transportation Logistics,Transportation/Logistics
Government/international organization,Government,Government/Military
Government/urban planning,Government,Government/Military
Governmental public health,Healthcare,Healthcare
Govt,Government,Government/Military
Govt contracting aerospace,Government,Government/Military
Govt- social work,Social,Social/Community
Govtech,Government,Government/Military
Graduate Medical Education,Healthcare,Healthcare
Graduate School,Education,Education/Training
Graduate-level health care education,Healthcare,Healthcare
Granite countertops,Real Estate,Real Estate
Grant Management,Project Management,Project Management
Grants Administration,Human Resources,Human Resources
Graphic Design,Architecture,Engineering/Architecture
Graphic Design (Tech),Arts Entertainment Publishing,Arts/Entertainment/Publishing
